Program,YearReleased,RPackage
PHYLIP,1980,other
CAIC,1995,other
COMPARE,1991,other
PDAP,1993,other
ANCML,1998,other
RIND,1996,other
MacroCAIC,2002,other
Phylogenetic Independence,1999,other
MacClade,1986,other
Mesquite,2001,other
APE,2002,R
Jevtrace,2003,other
SIMMAP,2003,other
PHYLOGR,2000,other
TreeSAAP,2003,other
Permute!,1992,other
Parsimov,2005,other
DIVERGE,1999,other
IDC,2006,other
OUCH,2004,R
BIRCH,2007,other
BayesTraits,2006,other
PHYSIG,2003,other
Phylocom,2008,other
pcca,2008,other
EMBOSS,2000,other
bms_runner,2007,other
SLOUCH,2008,R
Phybase,2010,other
CoMET,2006,other
Brownie,2006,other
TreeScan,2005,other
phylobase,2009,R
TreeBASE,2011,R
geiger,2007,R
evobiR,2013,R
phytools,2011,R
TESS,2012,R
diversitree,2010,R
TreePar,2010,R
caper,2011,R
apTreeshape,2005,R
iteRates,2011,R
DDD,2012,R
paleoTS,2006,R
TreeSim,2010,R
paleotree,2012,R
picante,2008,R
corHMM,2013,R
PVR,2012,R
OUwie,2011,R
maticce,2009,R
adephylo,2009,R
MCMCglmm,2009,R
phylolm,2013,R
geomorph,2012,R
phangorn,2008,R
phylosim,2010,R
distory,2013,R
